step,action,position_state,balance,equity,drawdown_pct
174,BUY,1,10894.749999999978,10894.749999999978,0.0336
175,CLOSE,0,10904.869999999977,10904.869999999977,0.0
176,CLOSE,0,10904.869999999977,10904.869999999977,0.0
177,BUY,1,10904.869999999977,10904.819999999978,0.0005
178,CLOSE,0,10914.589999999976,10914.589999999976,0.0
179,BUY,1,10914.589999999976,10914.539999999975,0.0005
180,CLOSE,0,10913.809999999976,10913.809999999976,0.0071
182,CLOSE,0,10913.809999999976,10913.809999999976,0.0071
183,BUY,1,10913.809999999976,10913.759999999977,0.0076
185,CLOSE,0,10915.749999999975,10915.749999999975,0.0
186,CLOSE,0,10915.749999999975,10915.749999999975,0.0
188,SELL,-1,10915.749999999975,10915.699999999975,0.0005
191,SELL,-1,10915.749999999975,10920.449999999975,0.0186
197,BUY,1,11012.469999999974,11012.419999999973,0.0
198,BUY,1,11012.469999999974,11006.939999999973,0.0498
199,SELL,-1,11011.429999999973,11011.379999999972,0.0094
200,SELL,-1,11011.429999999973,11015.469999999972,0.0
202,BUY,1,11029.919999999973,11029.869999999974,0.0
203,BUY,1,11029.919999999973,11035.319999999972,0.0
204,BUY,1,11029.919999999973,11046.159999999973,0.0
206,CLOSE,0,11050.699999999972,11050.699999999972,0.007
207,CLOSE,0,11050.699999999972,11050.699999999972,0.007
208,BUY,1,11050.699999999972,11050.649999999972,0.0074
209,SELL,-1,11054.31999999997,11054.269999999971,0.0
210,BUY,1,11058.28999999997,11058.239999999969,0.0
211,CLOSE,0,11056.499999999969,11056.499999999969,0.0157
212,CLOSE,0,11056.499999999969,11056.499999999969,0.0157
213,BUY,1,11056.499999999969,11056.449999999968,0.0162
214,SELL,-1,11061.399999999969,11061.34999999997,0.0
215,BUY,1,11061.949999999968,11061.899999999969,0.0
216,SELL,-1,11074.739999999969,11074.68999999997,0.0
217,SELL,-1,11074.739999999969,11073.859999999968,0.0075
218,BUY,1,11172.41999999997,11172.36999999997,0.0
219,SELL,-1,11164.859999999968,11164.809999999969,0.0677
220,SELL,-1,11164.859999999968,11174.479999999967,0.0
222,CLOSE,0,11178.519999999968,11178.519999999968,0.0
224,BUY,1,11178.519999999968,11178.469999999968,0.0004
225,BUY,1,11178.519999999968,11182.299999999967,0.0
226,BUY,1,11178.519999999968,11176.609999999968,0.0509
227,CLOSE,0,11180.109999999968,11180.109999999968,0.0196
229,CLOSE,0,11180.109999999968,11180.109999999968,0.0196
230,BUY,1,11180.109999999968,11180.059999999969,0.02
232,BUY,1,11180.109999999968,11188.919999999967,0.0095
234,BUY,1,11180.109999999968,11205.439999999968,0.0
235,BUY,1,11180.109999999968,11222.249999999967,0.0
236,SELL,-1,11218.679999999968,11218.629999999968,0.0323
237,BUY,1,11237.289999999968,11237.239999999969,0.0
